,graph_i,mec_size,n_nodes,n_types,prob_inter,prob_intra,runtime,tmec_size,unoriented_tedges
371,37,4,20,10,0.2,0.3,0.027538299560546875,2,1
372,37,24,30,10,0.2,0.3,0.18529510498046875,6,1
373,37,192,40,10,0.2,0.3,3.2288336753845215,48,3
374,37,24,50,10,0.2,0.3,0.6284294128417969,4,0
375,37,32,60,10,0.2,0.3,0.7268674373626709,2,0
376,37,9,70,10,0.2,0.3,0.9780404567718506,2,0
377,37,48,80,10,0.2,0.3,0.9634466171264648,1,0
378,37,42,90,10,0.2,0.3,1.9896001815795898,2,0
379,37,640,100,10,0.2,0.3,57.15504574775696,64,0
380,38,6,10,10,0.2,0.3,0.012952327728271484,6,3
381,38,24,20,10,0.2,0.3,0.11523270606994629,12,3
382,38,27,30,10,0.2,0.3,0.49822378158569336,18,2
383,38,800,40,10,0.2,0.3,1.349428653717041,18,1
384,38,96,50,10,0.2,0.3,0.8647184371948242,6,0
385,38,32,60,10,0.2,0.3,0.6414716243743896,2,0
386,38,3,70,10,0.2,0.3,0.9691853523254395,2,0
387,38,160,80,10,0.2,0.3,4.2329630851745605,8,1
388,38,144,90,10,0.2,0.3,3.4306254386901855,4,0
389,38,144,100,10,0.2,0.3,2.7194201946258545,2,0
390,39,3,10,10,0.2,0.3,0.006980419158935547,3,2
391,39,24,20,10,0.2,0.3,0.20733308792114258,24,3
392,39,20,30,10,0.2,0.3,0.12519025802612305,3,2
393,39,64,40,10,0.2,0.3,0.8318483829498291,12,2
394,39,128,50,10,0.2,0.3,0.8814620971679688,6,0
395,39,8,60,10,0.2,0.3,0.7908468246459961,2,0
396,39,48,70,10,0.2,0.3,1.8316073417663574,4,0
397,39,12,80,10,0.2,0.3,0.7278180122375488,1,0
398,39,30,90,10,0.2,0.3,1.0274572372436523,1,0
399,39,272,100,10,0.2,0.3,2.255140542984009,2,0
400,40,6,10,10,0.2,0.3,0.010083198547363281,6,3
401,40,4,20,10,0.2,0.3,0.02235722541809082,2,1
